Molecule ChEMBL ID,Smiles,Standard Type,Standard Value,Standard Units,pChEMBL Value
CHEMBL1573562,CC(C)c1nn2c(=O)cc(COC(=O)CNC(=O)c3ccccc3Cl)nc2s1,Potency,631.0,nM,6.2
CHEMBL1523269,CC(C)(C)c1oc(C(=O)O)cc1CN1CCOCC1.Cl,Potency,89125.1,nM,4.05
CHEMBL1506534,CN(CC(=O)NCc1ccco1)S(=O)(=O)c1cccc2cccnc12,Potency,89125.1,nM,4.05
CHEMBL1467135,Cc1cc2c(cc1C)-c1nnnn1C(C)(C)C2,Potency,25118.9,nM,4.6
CHEMBL1523271,COc1ccc2nc3c(O)n4c(nc-3c2c1)SCC4,Potency,631.0,nM,6.2
CHEMBL1405511,COCCNC(=O)c1cc2c(-c3ccccc3F)nn(C)c2s1,Potency,2818.4,nM,5.55
CHEMBL1601084,Cc1ccc(S(=O)(=O)N2CCCC2CNC(=O)C(=O)NCCN2CCOCC2)cc1,Potency,112201.8,nM,3.95
CHEMBL1308693,Cc1cccc2cc(COC(=O)C3CCCCC3)c(O)nc12,Potency,1778.3,nM,5.75
CHEMBL1545613,CCOC(=O)c1ccc2c(c1)nc(C1CCN(S(=O)(=O)c3cccs3)CC1)n2CC,Potency,891.3,nM,6.05
CHEMBL1506500,CCn1c(SCC(=O)NCC2CCCO2)nnc1-c1c[nH]c2ccccc12,Potency,3981.1,nM,5.4
CHEMBL1417828,N#Cc1ccccc1COc1nc2ccccc2nc1N1CCOCC1,Potency,31622.8,nM,4.5
CHEMBL1496057,O=C(c1ccco1)N(Cc1nc(O)c2ccccc2n1)C1CCCC1,Potency,707.9,nM,6.15
CHEMBL1476375,Cc1cccc(-n2c(SCC(=O)Nc3ccccc3C)nc3c(oc4ccccc43)c2=O)c1,Potency,562.3,nM,6.25
CHEMBL1349696,CCN(CC)CCCNC(=O)Cc1c(C(=O)O)n(C)c2ccccc12,Potency,5623.4,nM,5.25
CHEMBL1457410,Cc1ccc2nc(-c3c[nH]c4ccccc34)c(Nc3ccccc3C)n2c1,Potency,5623.4,nM,5.25
CHEMBL1338996,COc1ccc(C(=O)Oc2ccc(=O)n(-c3ccccc3)n2)cc1,Potency,89125.1,nM,4.05
